date,clones_count,clones_uniques,views_count,views_uniques
2025-08-14,25,25,246,12
2025-08-15,25,25,274,16
2025-08-29,13,12,116,34
2025-09-01,18,16,121,33
2025-09-15,12,10,200,15
2025-09-22,21,19,140,24
2025-09-29,21,19,151,23
2025-10-01,26,21,139,22
2025-10-08,24,21,127,22
2025-10-15,20,16,132,24
2025-10-22,28,16,131,21
2025-10-27,43,28,127,26
2025-11-03,33,25,101,24
2025-11-10,21,14,81,26
2025-11-17,19,14,58,31
2025-11-24,15,12,88,29
2025-12-01,15,12,92,25
2025-12-08,32,20,99,21
2025-12-15,44,29,131,21
2025-12-22,28,22,94,15
2025-12-29,27,24,80,16
2026-01-05,36,29,49,10
2026-01-12,26,22,51,14
2026-01-19,20,18,81,18
2026-01-26,27,20,68,15
2026-02-02,50,22,108,17
2026-02-09,80,23,208,21
2026-02-16,86,20,149,20
2026-02-23,89,22,78,18
2026-03-02,98,30,76,17
2026-03-09,61,26,72,19
2026-03-16,56,20,84,22
2026-03-23,93,22,78,23
